Component,Origin,License
core,"github.com/DataDog/agent-payload/gogen",NewBSD
core,"github.com/DataDog/agent-payload/process",NewBSD
core,"github.com/DataDog/datadog-go/statsd",MIT
core,"github.com/DataDog/datadog-operator/pkg/apis/datadoghq/v1alpha1",Apache-2.0
core,"github.com/DataDog/datadog-operator/pkg/generated/clientset/versioned",Apache-2.0
core,"github.com/DataDog/datadog-operator/pkg/generated/clientset/versioned/fake",Apache-2.0
core,"github.com/DataDog/datadog-operator/pkg/generated/clientset/versioned/scheme",Apache-2.0
core,"github.com/DataDog/datadog-operator/pkg/generated/clientset/versioned/typed/datadoghq/v1alpha1",Apache-2.0
core,"github.com/DataDog/datadog-operator/pkg/generated/clientset/versioned/typed/datadoghq/v1alpha1/fake",Apache-2.0
core,"github.com/DataDog/datadog-operator/pkg/generated/informers/externalversions",Apache-2.0
core,"github.com/DataDog/datadog-operator/pkg/generated/informers/externalversions/datadoghq",Apache-2.0
core,"github.com/DataDog/datadog-operator/pkg/generated/informers/externalversions/datadoghq/v1alpha1",Apache-2.0
core,"github.com/DataDog/datadog-operator/pkg/generated/informers/externalversions/internalinterfaces",Apache-2.0
core,"github.com/DataDog/datadog-operator/pkg/generated/listers/datadoghq/v1alpha1",Apache-2.0
core,"github.com/DataDog/ebpf",MIT
core,"github.com/DataDog/ebpf/asm",MIT
core,"github.com/DataDog/ebpf/internal",MIT
core,"github.com/DataDog/ebpf/internal/btf",MIT
core,"github.com/DataDog/ebpf/internal/unix",MIT
core,"github.com/DataDog/ebpf/manager",MIT
core,"github.com/DataDog/ebpf/perf",MIT
core,"github.com/DataDog/gohai/cpu",MIT
core,"github.com/DataDog/gohai/filesystem",MIT
core,"github.com/DataDog/gohai/memory",MIT
core,"github.com/DataDog/gohai/network",MIT
core,"github.com/DataDog/gohai/platform",MIT
core,"github.com/DataDog/gohai/processes",MIT
core,"github.com/DataDog/gohai/processes/gops",MIT
core,"github.com/DataDog/gopsutil/cpu",NewBSD
core,"github.com/DataDog/gopsutil/host",NewBSD
core,"github.com/DataDog/gopsutil/internal/common",NewBSD
core,"github.com/DataDog/gopsutil/mem",NewBSD
core,"github.com/DataDog/gopsutil/net",NewBSD
core,"github.com/DataDog/gopsutil/process",NewBSD
core,"github.com/DataDog/sketches-go/ddsketch",Apache-2.0
core,"github.com/DataDog/sketches-go/ddsketch/mapping",Apache-2.0
core,"github.com/DataDog/sketches-go/ddsketch/pb/sketchpb",Apache-2.0
core,"github.com/DataDog/sketches-go/ddsketch/store",Apache-2.0
core,"github.com/DataDog/zstd",NewBSD
core,"github.com/alecthomas/participle",MIT
core,"github.com/alecthomas/participle/lexer",MIT
core,"github.com/alecthomas/participle/lexer/ebnf",MIT
core,"github.com/alecthomas/participle/lexer/ebnf/internal",MIT
core,"github.com/alecthomas/repr",MIT
core,"github.com/avast/retry-go",MIT
