pipeline_id,status,ref,source,created_at,updated_at,duration,queued_duration,web_url
90345572,running,update-k8s-versions-automated,push,2026-01-13T06:11:44.666Z,2026-01-13T06:12:47.987Z,,63.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90345572
90342189,success,aiuto/dd1,push,2026-01-13T04:14:52.733Z,2026-01-13T05:58:07.047Z,6140.0,63.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90342189
90342125,success,aiuto/rtl,push,2026-01-13T04:12:33.025Z,2026-01-13T05:07:12.419Z,3224.0,63.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90342125
90341160,failed,wyn.bennett/DELA-237-selective,push,2026-01-13T03:46:42.357Z,2026-01-13T05:49:59.862Z,7345.0,55.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90341160
90340338,failed,aiuto/rtl,push,2026-01-13T03:27:57.678Z,2026-01-13T04:48:58.455Z,4812.0,57.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90340338
90340321,success,aiuto/expf,push,2026-01-13T03:27:21.001Z,2026-01-13T04:22:20.239Z,3249.0,58.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90340321
90338749,failed,wyn.bennett/DELA-237-selective,push,2026-01-13T03:00:48.847Z,2026-01-13T04:39:40.780Z,5879.0,58.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90338749
90338746,success,main,pipeline,2026-01-13T03:00:36.959Z,2026-01-13T05:51:08.908Z,10173.0,64.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90338746
90337424,success,7.74.x,api,2026-01-13T02:30:28.114Z,2026-01-13T05:10:16.999Z,9532.0,63.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90337424
90336216,success,main,pipeline,2026-01-13T02:15:25.990Z,2026-01-13T04:00:40.150Z,6259.0,59.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90336216
90332456,success,dependabot/go_modules/github.com/goccy/go-yaml-1.19.2,push,2026-01-13T01:12:46.521Z,2026-01-13T03:15:11.457Z,7289.0,62.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90332456
90332455,success,dependabot/go_modules/gitlab.com/gitlab-org/api/client-go-1.13.0,push,2026-01-13T01:12:46.066Z,2026-01-13T03:07:09.466Z,6808.0,59.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90332455
90332447,failed,dependabot/go_modules/test/new-e2e/k8s-io-23512fda7a,push,2026-01-13T01:12:27.684Z,2026-01-13T02:59:32.605Z,6369.0,58.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90332447
90332361,failed,dependabot/go_modules/test/new-e2e/aws-sdk-go-v2-7c21aeb2a5,push,2026-01-13T01:12:12.671Z,2026-01-13T03:02:17.076Z,6550.0,57.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90332361
90332229,success,dependabot/go_modules/github.com/gosnmp/gosnmp-1.43.2,push,2026-01-13T01:12:03.406Z,2026-01-13T03:26:02.898Z,7987.0,55.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90332229
90332198,success,dependabot/go_modules/test/new-e2e/github.com/goccy/go-yaml-1.19.2,push,2026-01-13T01:11:59.802Z,2026-01-13T03:13:16.848Z,7219.0,61.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90332198
90332097,success,dependabot/go_modules/test/new-e2e/github.com/DataDog/datadog-api-client-go/v2-2.53.0,push,2026-01-13T01:11:54.311Z,2026-01-13T02:59:32.320Z,6406.0,56.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90332097
90331867,failed,dependabot/go_modules/github.com/go-viper/mapstructure/v2-2.5.0,push,2026-01-13T01:11:38.326Z,2026-01-13T02:56:32.459Z,6241.0,58.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90331867
90331863,failed,dependabot/go_modules/github.com/miekg/dns-1.1.70,push,2026-01-13T01:11:35.308Z,2026-01-13T04:01:30.093Z,8136.0,62.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90331863
90331849,success,dependabot/go_modules/aws-sdk-go-v2-0fadfe3766,push,2026-01-13T01:11:04.629Z,2026-01-13T02:44:46.286Z,5566.0,64.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90331849
90331822,success,dependabot/go_modules/pkg/trace/gopkg.in/ini.v1-1.67.1,push,2026-01-13T01:10:27.770Z,2026-01-13T02:58:08.646Z,6404.0,68.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90331822
90331713,failed,dependabot/go_modules/github.com/envoyproxy/gateway-1.6.2,push,2026-01-13T01:07:30.980Z,2026-01-13T02:54:40.153Z,4570.0,56.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90331713
90331707,failed,dependabot/go_modules/github.com/goccy/go-yaml-1.19.2,push,2026-01-13T01:07:14.301Z,2026-01-13T01:56:53.591Z,2916.0,57.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90331707
90331703,canceled,dependabot/go_modules/gitlab.com/gitlab-org/api/client-go-1.13.0,push,2026-01-13T01:07:10.836Z,2026-01-13T01:42:56.346Z,2096.0,55.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90331703
90331700,success,dependabot/go_modules/go.temporal.io/api-1.60.0,push,2026-01-13T01:06:57.842Z,2026-01-13T03:00:56.948Z,6786.0,57.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90331700
90331684,failed,dependabot/go_modules/test/new-e2e/github.com/DataDog/dd-trace-go/v2-2.5.0,push,2026-01-13T01:06:34.876Z,2026-01-13T03:20:01.673Z,7949.0,61.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90331684
90331682,failed,dependabot/go_modules/github.com/gosnmp/gosnmp-1.43.2,push,2026-01-13T01:06:31.046Z,2026-01-13T01:44:38.702Z,2236.0,56.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90331682
90331677,failed,dependabot/go_modules/test/new-e2e/github.com/DataDog/datadog-api-client-go/v2-2.53.0,push,2026-01-13T01:06:28.114Z,2026-01-13T01:44:18.013Z,2059.0,57.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90331677
90331672,failed,dependabot/go_modules/test/new-e2e/github.com/goccy/go-yaml-1.19.2,push,2026-01-13T01:06:21.941Z,2026-01-13T01:44:17.787Z,2207.0,57.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90331672
90331666,success,dependabot/go_modules/github.com/godror/godror-0.50.0,push,2026-01-13T01:06:12.213Z,2026-01-13T02:36:40.702Z,5375.0,57.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90331666
90331663,canceled,dependabot/go_modules/test/new-e2e/aws-sdk-go-v2-7c21aeb2a5,push,2026-01-13T01:06:09.765Z,2026-01-13T01:39:13.337Z,1933.0,55.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90331663
90331660,canceled,dependabot/go_modules/test/new-e2e/k8s-io-23512fda7a,push,2026-01-13T01:06:08.274Z,2026-01-13T01:41:26.416Z,2058.0,64.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90331660
90331659,canceled,dependabot/go_modules/github.com/go-viper/mapstructure/v2-2.5.0,push,2026-01-13T01:06:08.142Z,2026-01-13T01:40:20.380Z,2001.0,56.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90331659
90331649,success,dependabot/go_modules/go.temporal.io/sdk-1.39.0,push,2026-01-13T01:05:52.695Z,2026-01-13T02:57:17.848Z,6640.0,48.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90331649
90331646,failed,dependabot/go_modules/github.com/miekg/dns-1.1.70,push,2026-01-13T01:05:50.196Z,2026-01-13T01:44:17.833Z,2177.0,59.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90331646
90331635,failed,dependabot/go_modules/aws-sdk-go-v2-0fadfe3766,push,2026-01-13T01:05:23.105Z,2026-01-13T01:43:11.953Z,2132.0,55.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90331635
90331631,success,dependabot/go_modules/sigs.k8s.io/karpenter-1.8.1,push,2026-01-13T01:05:17.727Z,2026-01-13T02:48:30.937Z,6144.0,54.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90331631
90331629,success,dependabot/go_modules/bun-7bd3fd8b8d,push,2026-01-13T01:05:16.760Z,2026-01-13T02:31:09.731Z,5100.0,58.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90331629
90331613,success,dependabot/github_actions/anthropics/claude-code-action-1.0.29,push,2026-01-13T01:04:57.779Z,2026-01-13T01:59:39.030Z,3230.0,59.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90331613
90331607,failed,dependabot/go_modules/pkg/trace/gopkg.in/ini.v1-1.67.1,push,2026-01-13T01:04:49.340Z,2026-01-13T01:42:41.342Z,2221.0,59.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90331607
90331604,success,dependabot/github_actions/actions/setup-go-6.1.0,push,2026-01-13T01:04:45.977Z,2026-01-13T02:09:59.231Z,3859.0,61.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90331604
90331182,success,mwdd146980/incident-47888-fix,push,2026-01-13T01:00:01.692Z,2026-01-13T02:05:20.424Z,3867.0,61.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90331182
90330501,canceled,mwdd146980/incident-47888-fix,push,2026-01-13T00:56:28.053Z,2026-01-13T01:52:00.702Z,3287.0,55.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90330501
90329527,failed,renovate/integrations-core-digest,push,2026-01-13T00:44:59.020Z,2026-01-13T02:43:10.055Z,7042.0,57.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90329527
90329475,success,agntlog-119-http-error-codes,push,2026-01-13T00:44:06.975Z,2026-01-13T02:51:30.592Z,6672.0,56.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90329475
90326966,failed,agntlog-119-http-error-codes,push,2026-01-13T00:12:09.331Z,2026-01-13T01:06:28.066Z,3206.0,59.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90326966
90326930,failed,sopell/fine-grained-monitor,push,2026-01-13T00:10:46.765Z,2026-01-13T01:37:29.708Z,5152.0,63.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90326930
90326728,failed,hahn/gates_at_the_top,push,2026-01-13T00:04:02.953Z,2026-01-13T01:08:22.406Z,3810.0,54.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90326728
90326684,failed,main,schedule,2026-01-13T00:03:18.117Z,2026-01-13T01:41:39.511Z,5847.0,58.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90326684
90324917,failed,ganeshkumarsv-patch-1,push,2026-01-12T23:39:46.078Z,2026-01-13T02:03:37.743Z,8576.0,63.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90324917
90324396,failed,ella/observer-events-correlation,push,2026-01-12T23:31:22.383Z,2026-01-13T02:02:50.966Z,7047.0,56.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90324396
90323076,failed,observer-fgm-parquet-replay,push,2026-01-12T23:05:23.524Z,2026-01-12T23:59:16.386Z,3172.0,63.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90323076
90322951,failed,dd/add-networkpath-bundle,push,2026-01-12T23:03:28.480Z,2026-01-12T23:57:58.070Z,3214.0,65.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90322951
90321953,success,hahn/gates_at_the_top,push,2026-01-12T22:59:22.339Z,2026-01-13T00:12:59.698Z,4357.0,73.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90321953
90321795,failed,dd/add-networkpath-bundle,push,2026-01-12T22:56:23.302Z,2026-01-12T23:48:54.836Z,3102.0,57.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90321795
90320670,failed,lucas.liseth/auto_multiline_tagging,push,2026-01-12T22:44:31.052Z,2026-01-13T01:09:27.660Z,5405.0,62.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90320670
90319746,success,triviajon/new-e2e-optional-removal,push,2026-01-12T22:36:39.281Z,2026-01-13T01:03:16.471Z,6700.0,64.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90319746
90319539,success,hongshi/mac_location-secure,push,2026-01-12T22:34:59.761Z,2026-01-13T00:33:28.819Z,7047.0,70.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90319539
90317692,success,adrien.boitreaud/databricks-avoid-obfuscation,push,2026-01-12T22:29:40.309Z,2026-01-12T23:46:55.279Z,4575.0,70.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90317692
90314899,success,main,push,2026-01-12T22:07:30.122Z,2026-01-12T23:58:19.128Z,6590.0,66.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90314899
90312235,failed,renovate/integrations-core-digest,push,2026-01-12T21:51:52.981Z,2026-01-13T00:14:06.652Z,8477.0,62.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90312235
90312059,failed,wyn.bennett/DELA-237-selective,push,2026-01-12T21:50:49.382Z,2026-01-13T00:25:49.230Z,7882.0,58.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90312059
90312042,success,mq-working-branch-main-80ed4b4,push,2026-01-12T21:50:37.470Z,2026-01-12T22:05:27.450Z,885.0,7.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90312042
90310511,failed,ella/observer-events-correlation,push,2026-01-12T21:44:47.059Z,2026-01-12T23:08:16.594Z,4949.0,70.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90310511
90303703,failed,AGNTLOG-411-Agnt-Intake-E2E-Integration,push,2026-01-12T21:22:52.280Z,2026-01-12T23:13:37.967Z,6591.0,59.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90303703
90303631,success,adrien.boitreaud/databricks-avoid-obfuscation,push,2026-01-12T21:22:19.320Z,2026-01-12T22:34:34.405Z,4285.0,62.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90303631
90303177,success,main,pipeline,2026-01-12T21:19:07.226Z,2026-01-12T23:04:36.555Z,6253.0,81.0,https://gitlab.ddbuild.io/DataDog/datadog-agent/-/pipelines/90303177
