# HELP cadvisor_version_info A metric with a constant '1' value labeled by kernel version, OS version, docker version, cadvisor version & cadvisor revision.
# TYPE cadvisor_version_info gauge
cadvisor_version_info{cadvisorRevision="",cadvisorVersion="",dockerVersion="17.03.2-ce",kernelVersion="4.4.86+",osVersion="Container-Optimized OS from Google"} 1
# HELP container_cpu_cfs_periods_total Number of elapsed enforcement period intervals.
# TYPE container_cpu_cfs_periods_total counter
container_cpu_cfs_periods_total{container_name="",id="/kubepods/burstable/podd2e71e36-10d0-11e8-bd5a-42010af00137",image="",name="",namespace="",pod_name=""} 928708
container_cpu_cfs_periods_total{container_name="dd-agent",id="/kubepods/burstable/podd2e71e36-10d0-11e8-bd5a-42010af00137/326b384481ca95204018e3e837c61e522b64a3b86c3804142a22b2d1db9dbd7b",image="datadog/dev-dd-agent@sha256:1672a9c8741813070b5fac803d598c379e37e678e989582c55b7659b01f36eb4",name="k8s_dd-agent_dd-agent-q6hpw_default_d2e71e36-10d0-11e8-bd5a-42010af00137_0",namespace="default",pod_name="dd-agent-q6hpw"} 929729
# HELP container_cpu_cfs_throttled_periods_total Number of throttled period intervals.
# TYPE container_cpu_cfs_throttled_periods_total counter
container_cpu_cfs_throttled_periods_total{container_name="",id="/kubepods/burstable/podd2e71e36-10d0-11e8-bd5a-42010af00137",image="",name="",namespace="",pod_name=""} 147266
container_cpu_cfs_throttled_periods_total{container_name="dd-agent",id="/kubepods/burstable/podd2e71e36-10d0-11e8-bd5a-42010af00137/326b384481ca95204018e3e837c61e522b64a3b86c3804142a22b2d1db9dbd7b",image="datadog/dev-dd-agent@sha256:1672a9c8741813070b5fac803d598c379e37e678e989582c55b7659b01f36eb4",name="k8s_dd-agent_dd-agent-q6hpw_default_d2e71e36-10d0-11e8-bd5a-42010af00137_0",namespace="default",pod_name="dd-agent-q6hpw"} 167844
# HELP container_cpu_cfs_throttled_seconds_total Total time duration the container has been throttled.
# TYPE container_cpu_cfs_throttled_seconds_total counter
container_cpu_cfs_throttled_seconds_total{container_name="",id="/kubepods/burstable/podd2e71e36-10d0-11e8-bd5a-42010af00137",image="",name="",namespace="",pod_name=""} 10220.460575195
container_cpu_cfs_throttled_seconds_total{container_name="dd-agent",id="/kubepods/burstable/podd2e71e36-10d0-11e8-bd5a-42010af00137/326b384481ca95204018e3e837c61e522b64a3b86c3804142a22b2d1db9dbd7b",image="datadog/dev-dd-agent@sha256:1672a9c8741813070b5fac803d598c379e37e678e989582c55b7659b01f36eb4",name="k8s_dd-agent_dd-agent-q6hpw_default_d2e71e36-10d0-11e8-bd5a-42010af00137_0",namespace="default",pod_name="dd-agent-q6hpw"} 12082.551030282
# HELP container_cpu_load_average_10s Value of container cpu load average over the last 10 seconds.
