goos: darwin
goarch: arm64
pkg: github.com/DataDog/datadog-agent/pkg/logs/processor
cpu: Apple M4 Max
BenchmarkRegexPatterns/reset_password_token/match-16         	 3413724	       350.1 ns/op	     114 B/op	       5 allocs/op
BenchmarkRegexPatterns/reset_password_token/miss-16          	 2574069	       461.0 ns/op	      56 B/op	       3 allocs/op
BenchmarkRegexPatterns/Scrub_portal_token/match-16           	 1599855	       751.8 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/Scrub_portal_token/miss-16            	 1533100	       779.7 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/Scrub_communication_10007/match-16    	 1000000	      1110 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/Scrub_communication_10007/miss-16     	 1220234	       984.5 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/Exclude_Kafka_patterns/match-16       	  999816	      1254 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/Exclude_Kafka_patterns/miss-16        	 1000000	      1150 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/aws_mws_key/match-16                  	 3357891	       354.0 ns/op	      97 B/op	       5 allocs/op
BenchmarkRegexPatterns/aws_mws_key/miss-16                   	 1743908	       685.8 ns/op	      72 B/op	       3 allocs/op
BenchmarkRegexPatterns/okta_oauth_admin_penny/match-16       	 2299443	       521.7 ns/op	     146 B/op	       5 allocs/op
BenchmarkRegexPatterns/okta_oauth_admin_penny/miss-16        	45136537	        26.65 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/pay_anyone_claim_url_path_for_chime_web_app/match-16         	 4593250	       262.7 ns/op	     147 B/op	       5 allocs/op
BenchmarkRegexPatterns/pay_anyone_claim_url_path_for_chime_web_app/miss-16          	24185401	        48.39 ns/op	      48 B/op	       3 allocs/op
BenchmarkRegexPatterns/no_info/match-16                                             	 5558952	       214.3 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/no_info/miss-16                                              	 3138021	       381.1 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/Launch_Darkly_noisy_logs/match-16                            	 1000000	      1140 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/Launch_Darkly_noisy_logs/miss-16                             	 2094850	       574.2 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/first_name_tag/match-16                                      	 3676814	       327.7 ns/op	     146 B/op	       5 allocs/op
BenchmarkRegexPatterns/first_name_tag/miss-16                                       	 3510561	       342.8 ns/op	      56 B/op	       3 allocs/op
BenchmarkRegexPatterns/ach_batch_header_filter/match-16                             	 1827249	       659.3 ns/op	     243 B/op	       8 allocs/op
BenchmarkRegexPatterns/ach_batch_header_filter/miss-16                              	 1704060	       705.3 ns/op	      72 B/op	       3 allocs/op
BenchmarkRegexPatterns/facebook_client_id/match-16                                  	 2329872	       516.5 ns/op	     113 B/op	       5 allocs/op
BenchmarkRegexPatterns/facebook_client_id/miss-16                                   	 2008720	       594.3 ns/op	      48 B/op	       3 allocs/op
BenchmarkRegexPatterns/k8s_filter6/match-16                                         	 2319926	       523.3 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/k8s_filter6/miss-16                                          	22885222	        62.62 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/ict-msteams-callevent-identifier_flooding_logs/match-16      	  430130	      2891 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/ict-msteams-callevent-identifier_flooding_logs/miss-16       	  356320	      3446 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/RFC_5322_email/match-16                                      	 4287115	       279.8 ns/op	     114 B/op	       5 allocs/op
BenchmarkRegexPatterns/RFC_5322_email/miss-16                                       	 1764526	       677.3 ns/op	      48 B/op	       3 allocs/op
BenchmarkRegexPatterns/google_drive_oauth/match-16                                  	 2313028	       522.0 ns/op	     113 B/op	       5 allocs/op
BenchmarkRegexPatterns/google_drive_oauth/miss-16                                   	 1314608	       914.9 ns/op	     104 B/op	       3 allocs/op
BenchmarkRegexPatterns/large_integer_leaks/match-16                                 	 1000000	      1047 ns/op	     242 B/op	       8 allocs/op
BenchmarkRegexPatterns/large_integer_leaks/miss-16                                  	  836695	      1447 ns/op	      88 B/op	       3 allocs/op
BenchmarkRegexPatterns/Scrub_finder_user/match-16                                   	 1622367	       739.7 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/Scrub_finder_user/miss-16                                    	 2302448	       522.3 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/filter_collector_identification_request/match-16             	 1211631	       990.2 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/filter_collector_identification_request/miss-16              	 1355463	       886.4 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/Act_noisy_logs/match-16                                      	  843255	      1463 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/Act_noisy_logs/miss-16                                       	  777252	      1496 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/dob_tag/match-16                                             	 4362253	       273.4 ns/op	      98 B/op	       5 allocs/op
