metric,baseline,comparison,pct_delta,baseline_n,comparison_n
agent_process_cpu_cores,0.9866666666666667,0.5533333333333333,-43.91891891891892,3,3
agent_rss_mib,619.5135183070321,230.12643618493908,-62.85368609650129,3,3
blackhole_received_mib_s,0.06193823284573025,0.060067351659139005,-3.020559516528437,3,3
columnar_v3_created_buckets_s,NULL,0.01,NULL,0,3
columnar_v3_created_descriptors_s,NULL,7.8566666666666665,NULL,0,3
columnar_v3_created_rows_s,NULL,237.52333333333334,NULL,0,3
columnar_v3_duration_flush_ns_s,NULL,2690640.6633333336,NULL,0,3
columnar_v3_expired_descriptors_s,NULL,0.02,NULL,0,3
columnar_v3_fallback_samples_s,NULL,0.0064516129032258064,NULL,0,1
columnar_v3_flushed_buckets_s,NULL,0.09444444444444444,NULL,0,3
columnar_v3_flushed_points_s,NULL,221.89444444444447,NULL,0,3
columnar_v3_flushed_rows_s,NULL,148.82444444444445,NULL,0,3
columnar_v3_flushes_s,NULL,0.06333333333333334,NULL,0,3
columnar_v3_inserted_samples_s,NULL,291121.92333333334,NULL,0,3
columnar_v3_reused_buckets_s,NULL,0.0911111111111111,NULL,0,3
debug_stats_contexts,NULL,2093.370985603544,NULL,0,3
dogstatsd_processed_metrics_error_s,0.0,0.0,NULL,3,3
dogstatsd_processed_metrics_ok_s,187948.16444444447,304945.82111111115,62.24995972293732,3,3
dogstatsd_uds_bytes_mib_s,152.37717181735567,246.73045651011998,61.92087933346031,3,3
dogstatsd_uds_packets_m_s,0.041337773333333334,0.06693219444444444,61.91533565372922,3,3
generator_written_mib_s,152.8229845407274,247.55476054615443,61.98791123607521,3,3
go_heap_alloc_mib,394.75239013807055,102.56614430745442,-74.01760017929712,3,3
metric_sample_pool_get_s,6504.27111111111,0.17111111111111113,-99.9973692500176,3,3
metric_sample_pool_put_s,6504.141111111111,0.1577777777777778,-99.99757419503848,3,3
pipeline_flush_duration_check_samplers_ns_s,NULL,96901.18888888888,NULL,0,3
pipeline_flush_duration_dogstatsd_columnar_v3_native_ns_s,NULL,2690680.2033333336,NULL,0,3
pipeline_flush_duration_dogstatsd_samplers_ns_s,NULL,4510.385555555556,NULL,0,3
pipeline_flush_duration_flush_total_ns_s,NULL,3134637.5955555555,NULL,0,3
pipeline_flush_duration_producer_total_ns_s,NULL,101509.12222222221,NULL,0,3
pipeline_flush_duration_serialize_columnar_v3_native_ns_s,NULL,2825681.9688888886,NULL,0,3
pipeline_flush_duration_serialize_direct_metrics_ns_s,NULL,307904.0811111111,NULL,0,3
pipeline_items_series_points_s,NULL,36.699999999999996,NULL,0,3
pipeline_items_series_row_points_s,NULL,0.14555555555555555,NULL,0,3
pipeline_items_series_row_tags_s,NULL,0.10222222222222221,NULL,0,3
pipeline_items_series_rows_s,NULL,0.0988888888888889,NULL,0,3
pipeline_items_series_s,NULL,36.699999999999996,NULL,0,3
pipeline_items_series_tags_s,NULL,224.43666666666664,NULL,0,3
pipeline_items_v3_metric_point_row_points_s,NULL,221.89444444444447,NULL,0,3
pipeline_items_v3_metric_point_row_tags_s,NULL,3718.851111111111,NULL,0,3
pipeline_items_v3_metric_point_rows_s,NULL,148.82444444444445,NULL,0,3
string_interner_entries_interner_0,2240.159468438538,2763.9678848283497,23.382639663368366,3,3
string_interner_entries_interner_1,2122.0376522702104,2763.9468438538206,30.249660786974218,3,3
string_interner_hits_interner_0_s,528369.8766666666,5501.633333333332,-98.958753408116,3,3
string_interner_hits_interner_1_s,529900.2344444444,5495.694444444445,-98.96288129590917,3,3
string_interner_miss_interner_0_s,475513.49333333335,140.68444444444444,-99.97041420560787,3,3
string_interner_miss_interner_1_s,476954.63666666666,140.67,-99.97050662910354,3,3
