workload,metric,baseline,comparison,delta_pct
high_metrics_only,agent_cpu_cores,0.5784318097361575,0.5733333333333334,-0.8814308475098759
high_metrics_only,agent_heap_mib_avg,91.91502498047957,92.21368577181961,0.32493141507981804
high_metrics_only,agent_rss_mib_avg,208.01362418962253,210.4980620155039,1.1943630305756274
high_metrics_only,columnar_created_buckets_s,0.010011148272017838,0.01,-0.11135857461025091
high_metrics_only,columnar_created_descriptors_s,7.8654254923820135,7.8500000000000005,-0.19611771031272476
high_metrics_only,columnar_created_rows_s,235.22084726867334,237.51777777777775,0.9764995474575514
high_metrics_only,columnar_expired_descriptors_s,0.020022296544035676,0.02,-0.11135857461025091
high_metrics_only,columnar_fallback_samples_s,0.0033333333333333335,NULL,NULL
high_metrics_only,columnar_flushed_buckets_s,0.09343738387216648,0.09444444444444444,1.0777919185491587
high_metrics_only,columnar_flushed_points_s,219.5744853214418,221.8888888888889,1.054040301658444
high_metrics_only,columnar_flushed_rows_s,148.9725343738387,148.81777777777776,-0.10388263629360109
high_metrics_only,columnar_flushes_s,0.06340393905611297,0.06333333333333334,-0.1113585746102345
high_metrics_only,columnar_inserted_samples_s,291657.81304347824,291294.6711111111,-0.1245095849062613
high_metrics_only,columnar_reused_buckets_s,0.09010033444816053,0.0911111111111111,1.1218345294069108
high_metrics_only,fallback_invalid_value_s,0.0033333333333333335,NULL,NULL
high_metrics_only,generator_mib_s,247.72211042233005,247.713428513209,-0.0035046968985674677
high_metrics_only,string_hits_s,71669.51213117801,71666.40333333334,-0.004337685233553541
standard,agent_cpu_cores,0.3733333333333333,0.3711111111111111,-0.5952380952380842
standard,agent_heap_mib_avg,198.3135963938429,208.73557199539405,5.255300590108577
standard,agent_rss_mib_avg,391.69109478820593,407.7396914797896,4.097258504245908
standard,columnar_created_buckets_s,0.01,0.01,0.0
standard,columnar_created_descriptors_s,7.857777777777778,7.8566666666666665,-0.01414027149321488
standard,columnar_created_rows_s,235.6588888888889,235.39666666666668,-0.11127194202543154
standard,columnar_expired_descriptors_s,0.021111111111111112,0.02,-5.263157894736843
standard,columnar_fallback_samples_s,0.007215265354800238,NULL,NULL
standard,columnar_flushed_buckets_s,0.09333333333333334,0.09333333333333334,0.0
standard,columnar_flushed_points_s,219.33888888888887,219.3422222222222,0.0015197183455319125
standard,columnar_flushed_rows_s,148.83,148.8322222222222,0.0014931278789231022
standard,columnar_flushes_s,0.06333333333333334,0.06333333333333334,0.0
standard,columnar_inserted_samples_s,108683.17333333334,108665.08222222222,-0.016645733241183704
standard,columnar_reused_buckets_s,0.0911111111111111,0.0911111111111111,0.0
standard,columnar_reused_descriptor_slots_s,0.004878048780487805,NULL,NULL
standard,fallback_invalid_value_s,0.007215265354800238,NULL,NULL
standard,generator_mib_s,98.9843258942498,98.97173373752169,-0.012721364331531707
standard,string_hits_s,26617.940555555557,26613.00888888889,-0.018527604178746226
