metric,baseline_mean,comparison_mean,delta_percent
agent_process_cpu_cores,0.5788888888888889,0.4977777777777778,-14.011516314779264
agent_rss_mib,208.10716016057586,218.1885987679956,4.844349708890781
blackhole_received_mib_s,0.058721445931328664,0.05979439947340223,1.8271919654845101
columnar_v3_duration_flush_ns_s,3149772.112222222,2288991.8833333333,-27.328333549870454
columnar_v3_fallbacks_invalid_value_s,0.006666666666666667,,
columnar_v3_stats_created_buckets_s,0.01,0.01,0.0
columnar_v3_stats_created_descriptors_s,7.8566666666666665,7.8566666666666665,0.0
columnar_v3_stats_created_rows_s,240.07000000000002,240.07222222222222,0.0009256559429338331
columnar_v3_stats_expired_descriptors_s,0.02,0.02,0.0
columnar_v3_stats_fallback_samples_s,0.006666666666666667,,
columnar_v3_stats_flushed_buckets_s,0.09444444444444444,0.09444444444444444,0.0
columnar_v3_stats_flushed_points_s,221.89333333333335,221.89555555555557,0.0010014821936499556
columnar_v3_stats_flushed_rows_s,148.82333333333335,148.82444444444445,0.0007465973824225322
columnar_v3_stats_flushes_s,0.06333333333333334,0.06333333333333334,0.0
columnar_v3_stats_inserted_samples_s,291481.15888888884,291484.89999999997,0.0012834829960844212
columnar_v3_stats_reused_buckets_s,0.09222222222222222,0.09222222222222222,0.0
columnar_v3_stats_reused_descriptor_slots_s,0.01,0.01,0.0
dogstatsd_contexts,1.5382059800664452,1.495016611295681,-2.8077753779697594
dogstatsd_uds_bytes_mib_s,246.9670632870992,247.2333308696747,0.10781501752966892
dogstatsd_uds_packets_m_s,0.06699655444444444,0.06706946888888889,0.10883312589591408
float64_list_pool_get_s,10451.87888888889,10463.314444444444,0.10941148167829208
float64_list_pool_put_s,10451.877777777778,10463.324444444444,0.10951780062912718
generator_written_mib_s,247.79214976946514,248.05718160629272,0.10695731768506335
go_heap_alloc_mib,92.19174921789835,102.8745799862005,11.587621299009001
metric_sample_pool_get_s,0.17222222222222225,0.17,-1.2903225806451695
metric_sample_pool_put_s,0.15888888888888889,0.15666666666666668,-1.39860139860139
string_interner_hits_s,71689.74611111112,5509.397222222222,-92.31494387818968
string_interner_miss_s,158.24333333333334,140.67666666666665,-11.101046910875672
