[1;34m[lab][0m observing orchestrator manifest rate; window=180s interval=20s
timestamp,window_seconds,orchmanif_payloads_in_window,orchmanif_batches_in_window,orch_payloads_in_window,total_orchmanif_payloads,total_orch_payloads,manif_batches,manif_gap_p50_s,manif_gap_p95_s,manif_gap_max_s,coll_batches,coll_gap_p50_s,coll_gap_p95_s,coll_gap_max_s
1778882115,180,38,13,54,141,199,12,15.00,15.00,15.01,17,12.05,12.90,14.87
1778882135,180,38,12,54,142,203,12,15.00,15.00,15.01,17,12.05,12.90,14.87
1778882155,180,38,12,54,144,207,12,15.00,15.00,15.01,17,12.05,12.90,14.87
1778882175,180,38,13,54,147,210,12,15.00,15.00,15.01,17,12.06,12.90,14.87
1778882196,180,38,13,54,149,215,12,15.00,15.00,15.01,17,12.05,12.14,12.25
1778882216,180,38,13,54,152,220,12,15.00,15.00,15.01,17,12.06,13.51,15.00
1778882236,180,37,12,54,154,223,12,15.00,15.00,15.00,17,12.06,13.51,15.00
1778882256,180,37,12,54,171,242,12,15.00,15.00,15.00,17,12.06,13.51,15.00
1778882276,180,36,12,53,173,248,12,15.00,15.00,15.00,18,12.05,13.41,15.00
1778882296,180,35,12,52,176,251,12,15.00,15.00,15.00,16,12.05,13.61,15.00
1778882316,180,36,13,53,178,256,12,15.00,15.00,15.00,17,12.05,13.51,15.00
1778882336,180,36,12,53,180,260,12,15.00,15.00,15.00,17,12.05,13.51,15.00
1778882356,180,35,12,52,182,262,12,15.00,15.00,15.00,16,12.05,13.61,15.00
