timestamp,window_seconds,orchmanif_payloads_in_window,orchmanif_batches_in_window,orch_payloads_in_window,total_orchmanif_payloads,total_orch_payloads,manif_batches,manif_gap_p50_s,manif_gap_p95_s,manif_gap_max_s,coll_batches,coll_gap_p50_s,coll_gap_p95_s,coll_gap_max_s
1778883107,180,5,2,8,5,8,2,15.00,15.00,15.00,4,5.42,9.17,9.58
1778883127,180,7,3,13,7,13,3,15.00,15.00,15.00,7,5.42,10.21,10.41
1778883147,180,9,4,18,9,18,4,15.00,15.88,15.98,10,5.43,10.25,10.41
1778883167,180,13,6,22,13,22,6,15.00,15.98,15.98,12,5.43,10.21,10.41
1778883187,180,15,7,27,15,27,7,15.00,15.98,15.98,15,5.43,10.15,10.41
1778883207,180,17,8,32,17,32,8,15.00,15.98,15.98,18,5.43,10.09,10.41
1778883227,180,21,10,36,21,36,10,15.00,15.98,15.98,20,5.43,10.05,10.41
1778883247,180,34,11,54,34,54,11,15.00,15.98,15.98,23,5.43,10.01,10.41
1778883267,180,38,12,56,38,59,12,15.00,15.98,15.98,23,9.59,10.38,10.41
1778883287,180,37,12,57,42,65,12,15.00,15.98,15.98,23,9.59,10.01,10.40
