timestamp,window_seconds,orchmanif_payloads_in_window,orchmanif_batches_in_window,orch_payloads_in_window,total_orchmanif_payloads,total_orch_payloads,manif_batches,manif_gap_p50_s,manif_gap_p95_s,manif_gap_max_s,coll_batches,coll_gap_p50_s,coll_gap_p95_s,coll_gap_max_s
1778884256,180,3,2,5,3,5,2,14.02,14.02,14.02,3,6.03,6.45,6.50
1778884276,180,6,3,10,6,10,3,14.53,14.98,15.03,5,7.50,14.58,15.66
1778884296,180,9,5,13,9,13,5,14.53,15.81,15.95,6,8.50,14.94,15.66
1778884316,180,10,6,17,10,17,6,15.03,15.97,15.98,8,12.05,14.59,15.66
1778884336,180,13,8,37,13,37,8,15.00,15.97,15.98,10,12.05,14.23,15.66
1778884356,180,33,9,40,33,40,9,15.01,15.97,15.98,11,12.05,14.50,15.66
1778884376,180,35,10,46,35,46,10,15.00,15.97,15.98,14,12.05,14.12,15.66
1778884396,180,37,12,51,37,51,12,15.00,15.98,15.98,16,12.05,13.87,15.66
1778884416,180,39,12,53,40,53,12,15.03,15.98,15.98,17,12.05,13.93,15.66
1778884436,180,39,12,53,42,58,12,15.00,15.98,15.98,17,12.05,13.93,15.66
