timestamp,window_seconds,orchmanif_payloads_in_window,orchmanif_batches_in_window,orch_payloads_in_window,total_orchmanif_payloads,total_orch_payloads,manif_batches,manif_gap_p50_s,manif_gap_p95_s,manif_gap_max_s,coll_batches,coll_gap_p50_s,coll_gap_p95_s,coll_gap_max_s
1778894557,180,22,2,16,22,16,2,15.01,15.01,15.01,3,10.67,11.20,11.26
1778894577,180,33,3,24,33,24,3,15.00,15.01,15.01,5,10.67,14.41,14.97
1778894597,180,42,5,32,42,32,5,15.01,15.89,16.05,6,11.26,16.22,16.54
1778894617,180,44,6,61,44,61,6,15.00,15.84,16.05,8,11.26,16.07,16.54
1778894637,180,70,7,66,70,66,7,15.00,15.79,16.05,10,11.08,15.91,16.54
1778894657,180,79,9,69,79,69,9,15.00,15.69,16.05,10,11.08,15.91,16.54
1778894677,180,153,10,117,153,117,10,15.00,15.68,16.05,12,11.08,19.91,23.28
1778894697,180,156,11,125,156,125,11,15.00,15.63,16.05,15,10.75,18.89,23.28
1778894717,180,146,12,122,160,129,12,15.00,16.07,16.08,16,10.41,18.56,23.28
1778894737,180,140,12,120,162,136,12,15.00,16.07,16.08,16,11.08,18.56,23.28
1778894757,180,135,12,111,168,141,12,15.00,16.07,16.08,16,10.89,17.25,23.28
1778894777,180,133,12,111,175,143,12,15.00,16.08,16.08,16,10.89,17.91,23.28
1778894797,180,134,12,84,178,145,12,15.00,16.08,16.08,15,11.05,18.30,23.28
