metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
cisco_aci.tenant.application.egress_pkts.unicast.rate,gauge,,packet,,represents the rate of the ingress unicast counter readings in an interval. The rate is calculated by dividing the periodic value by the length of the interval. This value resets to 0 at the beginning of each interval,0,cisco_aci,
cisco_aci.tenant.application.egress_pkts.multicast.rate,gauge,,packet,,represents the rate of the ingress multicast counter readings in an interval. The rate is calculated by dividing the periodic value by the length of the interval. This value resets to 0 at the beginning of each interval,0,cisco_aci,
cisco_aci.tenant.application.egress_pkts.drop.cum,gauge,,packet,,represents the Egress drop packets. The total sum of the values read. Note that this value continues through each interval without resetting to zero,0,cisco_aci,
cisco_aci.tenant.application.egress_pkts.unicast.cum,gauge,,packet,,represents the sum total of values read by the unicast counter. Note that this value continues through each interval without resetting to zero,0,cisco_aci,
cisco_aci.tenant.application.egress_pkts.multicast.cum,gauge,,packet,,represents the sum total of values read by the multicast counter. Note that this value continues through each interval without resetting to zero,0,cisco_aci,
cisco_aci.tenant.application.egress_pkts.flood.cum,gauge,,packet,,represents the Egress flood packets. The total sum of the values read. Note that this value continues through each interval without resetting to zero,0,cisco_aci,
cisco_aci.tenant.application.ingress_pkts.unicast.rate,gauge,,packet,,represents the Ingress unicast packets. This is the rate of the counter during the collection interval. The rate is calculated by dividing the periodic value by the length of the collection interval. Note that this value resets to 0 at the beginning of each interval,0,cisco_aci,
cisco_aci.tenant.application.ingress_pkts.multicast.rate,gauge,,packet,,represents the Ingress multicast packets. This is the rate of the counter during the collection interval. The rate is calculated by dividing the periodic value by the length of the collection interval. Note that this value resets to 0 at the beginning of each interval,0,cisco_aci,
cisco_aci.tenant.application.ingress_pkts.drop.cum,gauge,,packet,,represents the Ingress drop packets. The total sum of the values read. Note that this value continues through each interval without resetting to zero,0,cisco_aci,
cisco_aci.tenant.application.ingress_pkts.unicast.cum,gauge,,packet,,represents the Ingress unicast packets. The total sum of the values read. Note that this value continues through each interval without resetting to zero,0,cisco_aci,
cisco_aci.tenant.application.ingress_pkts.multicast.cum,gauge,,packet,,represents the Ingress multicast packets. The total sum of the values read. Note that this value continues through each interval without resetting to zero,0,cisco_aci,
cisco_aci.tenant.application.ingress_pkts.flood.cum,gauge,,packet,,represents the Ingress flood packets. The total sum of the values read. Note that this value continues through each interval without resetting to zero,0,cisco_aci,
cisco_aci.tenant.application.ingress_bytes.unicast.rate,gauge,,byte,,represents the rate of the egress unicast counter readings in an interval. The rate is calculated by dividing the periodic value by the length of the interval. This value resets to 0 at the beginning of each interval,0,cisco_aci,
cisco_aci.tenant.application.ingress_bytes.multicast.rate,gauge,,byte,,represents the Ingress Multicast Bytes. This is the rate of the counter during the collection interval. The rate is calculated by dividing the periodic value by the length of the collection interval. Note that this value resets to 0 at the beginning of each interval,0,cisco_aci,
cisco_aci.tenant.application.ingress_bytes.drop.cum,gauge,,byte,,represents the Ingress drop bytes. The total sum of the values read. Note that this value continues through each interval without resetting to zero,0,cisco_aci,
cisco_aci.tenant.application.ingress_bytes.unicast.cum,gauge,,byte,,represents the sum total of values read by the unicast counter. Note that this value continues through each interval without resetting to zero,0,cisco_aci,
cisco_aci.tenant.application.ingress_bytes.multicast.cum,gauge,,byte,,represents the sum total of values read by the multicast counter. Note that this value continues through each interval without resetting to zero,0,cisco_aci,
cisco_aci.tenant.application.ingress_bytes.flood.cum,gauge,,byte,,represents the Ingress flood bytes. The total sum of the values read. Note that this value continues through each interval without resetting to zero,0,cisco_aci,
cisco_aci.tenant.application.fault_counter,gauge,,fault,,represents the warning Fault. This is the average value read by the counter during the collection interval. Note that this value resets to 0 at the beginning of each interval,0,cisco_aci,
cisco_aci.tenant.application.egress_bytes.unicast.rate,gauge,,byte,,represents the rate of the egress unicast counter readings in an interval. The rate is calculated by dividing the periodic value by the length of the interval. This value resets to 0 at the beginning of each interval,0,cisco_aci,
cisco_aci.tenant.application.egress_bytes.multicast.rate,gauge,,byte,,represents the Egress Multicast Bytes. This is the rate of the counter during the collection interval. The rate is calculated by dividing the periodic value by the length of the collection interval. Note that this value resets to 0 at the beginning of each interval,0,cisco_aci,
cisco_aci.tenant.application.egress_bytes.drop.cum,gauge,,byte,,represents the Egress drop bytes. The total sum of the values read. Note that this value continues through each interval without resetting to zero,0,cisco_aci,
cisco_aci.tenant.application.egress_bytes.unicast.cum,gauge,,byte,,represents the sum total of values read by the unicast counter. Note that this value continues through each interval without resetting to zero,0,cisco_aci,
cisco_aci.tenant.application.egress_bytes.multicast.cum,gauge,,byte,,represents the sum total of values read by the multicast counter. Note that this value continues through each interval without resetting to zero,0,cisco_aci,
cisco_aci.tenant.application.egress_bytes.flood.cum,gauge,,byte,,represents the Egress flood bytes. The total sum of the values read. Note that this value continues through each interval without resetting to zero,0,cisco_aci,
cisco_aci.tenant.application.health,gauge,,percent,,represents the most current statistics for the application health,0,cisco_aci,
cisco_aci.tenant.application.overall_health,gauge,,percent,,represents the statistics for the overall application health,0,cisco_aci,
cisco_aci.tenant.egress_pkts.unicast.rate,gauge,,packet,,represents the rate of the ingress unicast counter readings in an interval. The rate is calculated by dividing the periodic value by the length of the interval. This value resets to 0 at the beginning of each interval,0,cisco_aci,
cisco_aci.tenant.egress_pkts.multicast.rate,gauge,,packet,,represents the rate of the ingress multicast counter readings in an interval. The rate is calculated by dividing the periodic value by the length of the interval. This value resets to 0 at the beginning of each interval,0,cisco_aci,
cisco_aci.tenant.egress_pkts.drop.cum,gauge,,packet,,represents the Egress drop packets. The total sum of the values read. Note that this value continues through each interval without resetting to zero,0,cisco_aci,
cisco_aci.tenant.egress_pkts.unicast.cum,gauge,,packet,,represents the sum total of values read by the unicast counter. Note that this value continues through each interval without resetting to zero,0,cisco_aci,
cisco_aci.tenant.egress_pkts.multicast.cum,gauge,,packet,,represents the sum total of values read by the multicast counter. Note that this value continues through each interval without resetting to zero.,0,cisco_aci,
cisco_aci.tenant.egress_pkts.flood.cum,gauge,,packet,,represents the Egress flood packets. The total sum of the values read. Note that this value continues through each interval without resetting to zero,0,cisco_aci,
cisco_aci.tenant.ingress_pkts.unicast.rate,gauge,,packet,,represents the Ingress unicast packets. This is the rate of the counter during the collection interval. The rate is calculated by dividing the periodic value by the length of the collection interval. Note that this value resets to 0 at the beginning of each interval,0,cisco_aci,
cisco_aci.tenant.ingress_pkts.multicast.rate,gauge,,packet,,represents the Ingress multicast packets. This is the rate of the counter during the collection interval. The rate is calculated by dividing the periodic value by the length of the collection interval. Note that this value resets to 0 at the beginning of each interval,0,cisco_aci,
cisco_aci.tenant.ingress_pkts.drop.cum,gauge,,packet,,represents the Ingress drop packets. The total sum of the values read. Note that this value continues through each interval without resetting to zero,0,cisco_aci,
cisco_aci.tenant.ingress_pkts.unicast.cum,gauge,,packet,,represents the Ingress unicast packets. The total sum of the values read. Note that this value continues through each interval without resetting to zero,0,cisco_aci,
cisco_aci.tenant.ingress_pkts.multicast.cum,gauge,,packet,,represents the Ingress multicast packets. The total sum of the values read. Note that this value continues through each interval without resetting to zero,0,cisco_aci,
cisco_aci.tenant.ingress_pkts.flood.cum,gauge,,packet,,represents the Ingress flood packets. The total sum of the values read. Note that this value continues through each interval without resetting to zero,0,cisco_aci,
cisco_aci.tenant.ingress_bytes.unicast.rate,gauge,,byte,,represents the Ingress unicast bytes. This is the rate of the counter during the collection interval. The rate is calculated by dividing the periodic value by the length of the collection interval. Note that this value resets to 0 at the beginning of each interval,0,cisco_aci,
cisco_aci.tenant.ingress_bytes.multicast.rate,gauge,,byte,,represents the Ingress multicast bytes. This is the rate of the counter during the collection interval. The rate is calculated by dividing the periodic value by the length of the collection interval. Note that this value resets to 0 at the beginning of each interval.,0,cisco_aci,
